じゃん,13,13,5477,助動詞,*,*,*,不変化型,基本形,じゃん,ジャン,ジャン
やす,181,181,6549,助動詞,*,*,*,特殊・マス,基本形,やす,ヤス,ヤス
やせ,185,185,6075,助動詞,*,*,*,特殊・マス,未然形,やす,ヤセ,ヤセ
やしょ,183,183,6056,助動詞,*,*,*,特殊・マス,未然ウ接続,やす,ヤショ,ヤショ
やし,187,187,6389,助動詞,*,*,*,特殊・マス,連用形,やす,ヤシ,ヤシ
やすれ,175,175,6056,助動詞,*,*,*,特殊・マス,仮定形,やす,ヤスレ,ヤスレ
やせ,177,177,6075,助動詞,*,*,*,特殊・マス,命令ｅ,やす,ヤセ,ヤセ
やし,179,179,6389,助動詞,*,*,*,特殊・マス,命令ｉ,やす,ヤシ,ヤシ
ぬ,15,15,7092,助動詞,*,*,*,不変化型,基本形,ぬ,ヌ,ヌ
ん,20,20,6945,助動詞,*,*,*,不変化型,基本形,ん,ン,ン
まい,18,18,5643,助動詞,*,*,*,不変化型,基本形,まい,マイ,マイ
っす,144,144,5908,助動詞,*,*,*,特殊・デス,基本形,っす,ッス,ッス
っしょ,147,147,5908,助動詞,*,*,*,特殊・デス,未然形,っす,ッショ,ッショ
っし,150,150,6217,助動詞,*,*,*,特殊・デス,連用形,っす,ッシ,ッシ
じゃ,115,115,5925,助動詞,*,*,*,特殊・ジャ,基本形,じゃ,ジャ,ジャ
じゃろ,116,116,5672,助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャロ,ジャロ
じゃっ,117,117,5635,助動詞,*,*,*,特殊・ジャ,連用形,じゃ,ジャッ,ジャッ
べし,99,99,5196,助動詞,*,*,*,文語・ベシ,基本形,べし,ベシ,ベシ
べから,100,100,5203,助動詞,*,*,*,文語・ベシ,未然形,べし,ベカラ,ベカラ
べく,101,101,5244,助動詞,*,*,*,文語・ベシ,連用形,べし,ベク,ベク
べき,98,98,4434,助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
べけれ,97,97,5205,助動詞,*,*,*,文語・ベシ,仮定形,べし,ベケレ,ベケレ
やん,19,19,5678,助動詞,*,*,*,不変化型,基本形,やん,ヤン,ヤン
まじ,104,104,5707,助動詞,*,*,*,文語・マジ,基本形,まじ,マジ,マジ
まじく,105,105,5710,助動詞,*,*,*,文語・マジ,連用形,まじ,マジク,マジク
まじき,103,103,5709,助動詞,*,*,*,文語・マジ,体言接続,まじ,マジキ,マジキ
まじけれ,102,102,5710,助動詞,*,*,*,文語・マジ,仮定形,まじ,マジケレ,マジケレ
だ,121,121,5800,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
だろ,123,123,4930,助動詞,*,*,*,特殊・タ,未然形,だ,ダロ,ダロ
だら,119,119,5137,助動詞,*,*,*,特殊・タ,仮定形,だ,ダラ,ダラ
たい,129,129,7007,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
てえ,136,136,6402,助動詞,*,*,*,特殊・タイ,音便基本形,たい,テエ,テー
てぇ,136,136,6303,助動詞,*,*,*,特殊・タイ,音便基本形,たい,テェ,テー
たし,130,130,6469,助動詞,*,*,*,特殊・タイ,文語基本形,たい,タシ,タシ
たから,132,132,6953,助動詞,*,*,*,特殊・タイ,未然ヌ接続,たい,タカラ,タカラ
たかろ,131,131,6303,助動詞,*,*,*,特殊・タイ,未然ウ接続,たい,タカロ,タカロ
たかっ,134,134,6286,助動詞,*,*,*,特殊・タイ,連用タ接続,たい,タカッ,タカッ
たかつ,134,134,6062,助動詞,*,*,*,特殊・タイ,連用タ接続,たい,タカツ,タカッ
たく,135,135,6181,助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タク,タク
たくっ,135,135,6303,助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タクッ,タクッ
とう,133,133,6539,助動詞,*,*,*,特殊・タイ,連用ゴザイ接続,たい,トウ,トー
たき,128,128,6384,助動詞,*,*,*,特殊・タイ,体言接続,たい,タキ,タキ
たけれ,125,125,6268,助動詞,*,*,*,特殊・タイ,仮定形,たい,タケレ,タケレ
たけりゃ,126,126,6303,助動詞,*,*,*,特殊・タイ,仮定縮約１,たい,タケリャ,タケリャ
たきゃ,127,127,6303,助動詞,*,*,*,特殊・タイ,仮定縮約２,たい,タキャ,タキャ
た,124,124,7427,助動詞,*,*,*,特殊・タイ,ガル接続,たい,タ,タ
へん,17,17,6052,助動詞,*,*,*,不変化型,基本形,へん,ヘン,ヘン
御座る,39,39,4078,助動詞,*,*,*,五段・ラ行特殊,基本形,御座る,ゴザル,ゴザル
御座ら,43,43,4078,助動詞,*,*,*,五段・ラ行特殊,未然形,御座る,ゴザラ,ゴザラ
御座ん,45,45,4078,助動詞,*,*,*,五段・ラ行特殊,未然特殊,御座る,ゴザン,ゴザン
御座ろ,41,41,4078,助動詞,*,*,*,五段・ラ行特殊,未然ウ接続,御座る,ゴザロ,ゴザロ
