マイン,1141,1141,3214,名詞,固有名詞,人名,一般,*,*,マイン,マイン,マイン
ローゼマイン,1141,1141,2819,名詞,固有名詞,人名,一般,*,*,ローゼマイン,ローゼマイン,ローゼマイン
ヴィルフリート,1141,1141,3082,名詞,固有名詞,人名,一般,*,*,ヴィルフリート,ヴィルフリート,ビルフリート
フェルディナンド,1141,1141,3236,名詞,固有名詞,人名,一般,*,*,フェルディナンド,フェルディナンド,フェルディナンド
ヴァイス,1141,1141,3293,名詞,固有名詞,人名,一般,*,*,ヴァイス,ヴァイス,ヴァイス
ヴェローニカ,1141,1141,3289,名詞,固有名詞,人名,一般,*,*,ヴェローニカ,ヴェローニカ,ヴェローニカ
エーヴィリーベ,1141,1141,3326,名詞,固有名詞,人名,一般,*,*,エーヴィリーベ,エーヴィリーベ,エーヴィリーベ
ヴェール,1135,1135,4080,名詞,一般,*,*,*,*,ヴェール,ヴェール,ヴェール
エルヴィーラ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,エルヴィーラ,エルヴィーラ,エルヴィーラ
クヴェルヴァイデ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,クヴェルヴァイデ,クヴェルヴァイデ,クヴェルヴァイデ
ヴィンファル,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ヴィンファル,ヴィンファル,ヴィンファル
ヴィルマ,1141,1141,3276,名詞,固有名詞,人名,一般,*,*,ヴィルマ,ヴィルマ,ヴィルマ
オルトヴィーン,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,オルトヴィーン,オルトヴィーン,オルトヴィーン
ジギスヴァルト,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ジギスヴァルト,ジギスヴァルト,ジギスヴァルト
ジルヴェスター,1141,1141,3265,名詞,固有名詞,人名,一般,*,*,ジルヴェスター,ジルヴェスター,ジルヴェスター
プリムヴェール,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,プリムヴェール,プリムヴェール,プリムヴェール
ヴェネツィア,1144,1144,4245,名詞,固有名詞,地域,一般,*,*,ヴェネツィア,ヴェネツィア,ヴェネツィア
ヴァッシェン,1135,1135,4133,名詞,一般,*,*,*,*,ヴァッシェン,ヴァッシェン,ヴァッシェン
ゲヴィンネン,1135,1135,4080,名詞,一般,*,*,*,*,ゲヴィンネン,ゲヴィンネン,ゲヴィンネン
ヴィゼ,1135,1135,4080,名詞,一般,*,*,*,*,ヴィゼ,ヴィゼ,ヴィゼ
ランツェナーヴェ,1144,1144,4214,名詞,固有名詞,地域,一般,*,*,ランツェナーヴェ,ランツェナーヴェ,ランツェナーヴェ
ドレヴァンヒェル,1144,1144,4245,名詞,固有名詞,地域,一般,*,*,ドレヴァンヒェル,ドレヴァンヒェル,ドレヴァンヒェル
エントヴィッケルン,1135,1135,4080,名詞,一般,*,*,*,*,エントヴィッケルン,エントヴィッケルン,エントヴィッケルン
ユレーヴェ,1135,1135,4080,名詞,一般,*,*,*,*,ユレーヴェ,ユレーヴェ,ユレーヴェ
ヴィルフリート,1142,1142,5150,名詞,固有名詞,人名,名,*,*,ヴィルフリート,ビルフリート,ビルフリート
ジギスヴァルト,1142,1142,4921,名詞,固有名詞,人名,名,*,*,ジギスヴァルト,ジギスバルト,ジギスバルト
ジルヴェスター,1142,1142,4968,名詞,固有名詞,人名,名,*,*,ジルヴェスター,ジルベスター,ジルベスター
ヴェローニカ,1142,1142,4955,名詞,固有名詞,人名,名,*,*,ヴェローニカ,ベローニカ,ベローニカ
ヴァイス,1142,1142,4953,名詞,固有名詞,人名,名,*,*,ヴァイス,バイス,バイス
フェルディナンド,1141,1141,3236,名詞,固有名詞,人名,一般,*,*,フェルディナンド,フェルディナンド,フェルディナンド
アナスタージウス,1141,1141,3319,名詞,固有名詞,人名,一般,*,*,アナスタージウス,アナスタージウス,アナスタージウス
エグランティーヌ,1141,1141,3319,名詞,固有名詞,人名,一般,*,*,エグランティーヌ,エグランティーヌ,エグランティーヌ
ヒルデブラント,1141,1141,4135,名詞,固有名詞,人名,一般,*,*,ヒルデブラント,ヒルデブラント,ヒルデブラント
マグダレーナ,1141,1141,3323,名詞,固有名詞,人名,一般,*,*,マグダレーナ,マグダレーナ,マグダレーナ
ジギスヴァルト,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ジギスヴァルト,ジギスヴァルト,ジギスバルト
ハンネローレ,1141,1141,3320,名詞,固有名詞,人名,一般,*,*,ハンネローレ,ハンネローレ,ハンネローレ
ディートリンデ,1141,1141,3306,名詞,固有名詞,人名,一般,*,*,ディートリンデ,ディートリンデ,ディートリンデ
ベンノ,1141,1141,3258,名詞,固有名詞,人名,一般,*,*,ベンノ,ベンノ,ベンノ
トラオクヴァール,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,トラオクヴァール,トラオクヴァール,トラオクヴァール
ヒルシュール,1141,1141,3326,名詞,固有名詞,人名,一般,*,*,ヒルシュール,ヒルシュール,ヒルシュール
リーゼレータ,1141,1141,3324,名詞,固有名詞,人名,一般,*,*,リーゼレータ,リーゼレータ,リーゼレータ
ハルトムート,1141,1141,3287,名詞,固有名詞,人名,一般,*,*,ハルトムート,ハルトムート,ハルトムート
アンゲリカ,1141,1141,3312,名詞,固有名詞,人名,一般,*,*,アンゲリカ,アンゲリカ,アンゲリカ
レーベレヒト,1141,1141,3287,名詞,固有名詞,人名,一般,*,*,レーベレヒト,レーベレヒト,レーベレヒト
フェルネスティーネ,1141,1141,3313,名詞,固有名詞,人名,一般,*,*,フェルネスティーネ,フェルネスティーネ,フェルネスティーネ
レオノーレ,1141,1141,3316,名詞,固有名詞,人名,一般,*,*,レオノーレ,レオノーレ,レオノーレ
クラリッサ,1141,1141,3325,名詞,固有名詞,人名,一般,*,*,クラリッサ,クラリッサ,クラリッサ
アーレンスバッハ,1144,1144,4021,名詞,固有名詞,地域,一般,*,*,アーレンスバッハ,アーレンスバッハ,アーレンスバッハ
エーレンフェスト,1144,1144,3972,名詞,固有名詞,地域,一般,*,*,エーレンフェスト,エーレンフェスト,エーレンフェスト
クラッセンブルク,1144,1144,4220,名詞,固有名詞,地域,一般,*,*,クラッセンブルク,クラッセンブルク,クラッセンブルク
ユルゲンシュミット,1144,1144,4245,名詞,固有名詞,地域,一般,*,*,ユルゲンシュミット,ユルゲンシュミット,ユルゲンシュミット
トロンベ,1140,1140,3898,名詞,固有名詞,一般,*,*,*,トロンベ,トロンベ,トロンベ
ツェント,1140,1140,3763,名詞,固有名詞,一般,*,*,*,ツェント,ツェント,ツェント
グルトリスハイト,1141,1141,3277,名詞,固有名詞,人名,一般,*,*,グルトリスハイト,グルトリスハイト,グルトリスハイト
アウブ,1140,1140,2181,名詞,固有名詞,一般,*,*,*,アウブ,アウブ,アウブ
ギーベ,1140,1140,3931,名詞,固有名詞,一般,*,*,*,ギーベ,ギーベ,ギーベ
タウナーデ,1140,1140,3927,名詞,固有名詞,一般,*,*,*,タウナーデ,タウナーデ,タウナーデ
シュプレッシュ,1140,1140,3868,名詞,固有名詞,一般,*,*,*,シュプレッシュ,シュプレッシュ,シュプレッシュ
フィリーネ,1141,1141,3302,名詞,固有名詞,人名,一般,*,*,フィリーネ,フィリーネ,フィリーネ
オティーリエ,1141,1141,3325,名詞,固有名詞,人名,一般,*,*,オティーリエ,オティーリエ,オティーリエ
ブリュンヒルデ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ブリュンヒルデ,ブリュンヒルデ,ブリュンヒルデ
ベルティルデ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ベルティルデ,ベルティルデ,ベルティルデ
ローデリヒ,1141,1141,3306,名詞,固有名詞,人名,一般,*,*,ローデリヒ,ローデリヒ,ローデリヒ
マティアス,1141,1141,3293,名詞,固有名詞,人名,一般,*,*,マティアス,マティアス,マティアス
ラウレンツ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ラウレンツ,ラウレンツ,ラウレンツ
グレーティア,1141,1141,3285,名詞,固有名詞,人名,一般,*,*,グレーティア,グレーティア,グレーティア
ミュリエラ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ミュリエラ,ミュリエラ,ミュリエラ
ベルトラム,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ベルトラム,ベルトラム,ベルトラム
メルヒオール,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,メルヒオール,メルヒオール,メルヒオール
コルネリウス,1141,1141,3304,名詞,固有名詞,人名,一般,*,*,コルネリウス,コルネリウス,コルネリウス
ダームエル,1141,1141,3314,名詞,固有名詞,人名,一般,*,*,ダームエル,ダームエル,ダームエル
ユーディット,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ユーディット,ユーディット,ユーディット
テオドール,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,テオドール,テオドール,テオドール
リーゼレータ,1141,1141,3324,名詞,固有名詞,人名,一般,*,*,リーゼレータ,リーゼレータ,リーゼレータ
トラウゴット,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,トラウゴット,トラウゴット,トラウゴット
オルタンシア,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,オルタンシア,オルタンシア,オルタンシア
レティーツィア,1141,1141,3318,名詞,固有名詞,人名,一般,*,*,レティーツィア,レティーツィア,レティーツィア
ブリギッテ,1141,1141,3307,名詞,固有名詞,人名,一般,*,*,ブリギッテ,ブリギッテ,ブリギッテ
ラザファム,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ラザファム,ラザファム,ラザファム
ルッツ,1141,1141,3077,名詞,固有名詞,人名,一般,*,*,ルッツ,ルッツ,ルッツ
エックハルト,1141,1141,3324,名詞,固有名詞,人名,一般,*,*,エックハルト,エックハルト,エックハルト
メルヒオール,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,メルヒオール,メルヒオール,メルヒオール
カンフェル,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,カンフェル,カンフェル,カンフェル
フリターク,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,フリターク,フリターク,フリターク
ボニファティウス,1141,1141,3326,名詞,固有名詞,人名,一般,*,*,ボニファティウス,ボニファティウス,ボニファティウス
ヴェローニカ,1141,1141,3289,名詞,固有名詞,人名,一般,*,*,ヴェローニカ,ヴェローニカ,ヴェローニカ
ヴィルマ,1141,1141,3276,名詞,固有名詞,人名,一般,*,*,ヴィルマ,ヴィルマ,ヴィルマ
フラン,1141,1141,2887,名詞,固有名詞,人名,一般,*,*,フラン,フラン,フラン
コンラート,1141,1141,3326,名詞,固有名詞,人名,一般,*,*,コンラート,コンラート,コンラート
ザーム,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ザーム,ザーム,ザーム
デリア,1141,1141,3325,名詞,固有名詞,人名,一般,*,*,デリア,デリア,デリア
ディルク,1141,1141,3313,名詞,固有名詞,人名,一般,*,*,ディルク,ディルク,ディルク
モニカ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,モニカ,モニカ,モニカ
ニコラ,1141,1141,3110,名詞,固有名詞,人名,一般,*,*,ニコラ,ニコラ,ニコラ
マルク,1141,1141,3586,名詞,固有名詞,人名,一般,*,*,マルク,マルク,マルク
ギル,1141,1141,3249,名詞,固有名詞,人名,一般,*,*,ギル,ギル,ギル
ギュンター,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ギュンター,ギュンター,ギュンター
トゥーリ,1141,1141,3273,名詞,固有名詞,人名,一般,*,*,トゥーリ,トゥーリ,トゥーリ
フーゴ,1141,1141,3262,名詞,固有名詞,人名,一般,*,*,フーゴ,フーゴ,フーゴ
エラ,1141,1141,3562,名詞,固有名詞,人名,一般,*,*,エラ,エラ,エラ
ハイデマリー,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ハイデマリー,ハイデマリー,ハイデマリー
マルティナ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,マルティナ,マルティナ,マルティナ
レオンツィオ,1141,1141,3319,名詞,固有名詞,人名,一般,*,*,レオンツィオ,レオンツィオ,レオンツィオ
ラルフ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ラルフ,ラルフ,ラルフ
ユーディット,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ユーディット,ユーディット,ユーディット
オイサヴァール,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,オイサヴァール,オイサヴァール,オイサヴァール
ハイルアインド,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ハイルアインド,ハイルアインド,ハイルアインド
トルキューンハイト,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,トルキューンハイト,トルキューンハイト,トルキューンハイト
フロレンツィア,1141,1141,3326,名詞,固有名詞,人名,一般,*,*,フロレンツィア,フロレンツィア,フロレンツィア
ヒルシュール,1141,1141,3326,名詞,固有名詞,人名,一般,*,*,ヒルシュール,ヒルシュール,ヒルシュール
バルトルト,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,バルトルト,バルトルト,バルトルト
フリッツ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,フリッツ,フリッツ,フリッツ
ザック,1141,1141,3363,名詞,固有名詞,人名,一般,*,*,ザック,ザック,ザック
ベルトラム,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ベルトラム,ベルトラム,ベルトラム
ドレッファングーア,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,ドレッファングーア,ドレッファングーア,ドレッファングーア
リーベスクヒルフェ,1141,1141,3327,名詞,固有名詞,人名,一般,*,*,リーベスクヒルフェ,リーベスクヒルフェ,リーベスクヒルフェ
シックザントラハト,1141,1141,3326,名詞,固有名詞,人名,一般,*,*,シックザントラハト,シックザントラハト,シックザントラハト
フェアシュプレーディ,1141,1141,3326,名詞,固有名詞,人名,一般,*,*,フェアシュプレーディ,フェアシュプレーディ,フェアシュプレーディ
フリュートレーネ,1141,1141,3268,名詞,固有名詞,人名,一般,*,*,フリュートレーネ,フリュートレーネ,フリュートレーネ
ライデンシャフト,1141,1141,3324,名詞,固有名詞,人名,一般,*,*,ライデンシャフト,ライデンシャフト,ライデンシャフト
シュツェーリア,1141,1141,3311,名詞,固有名詞,人名,一般,*,*,シュツェーリア,シュツェーリア,シュツェーリア
