δ,1308,1308,695,記号,アルファベット,*,*,*,*,δ,デルタ,デルタ
ｕ,1308,1308,4288,記号,アルファベット,*,*,*,*,ｕ,ユー,ユー
」,1311,1311,-5,記号,括弧閉,*,*,*,*,」,」,」
—,1309,1309,2951,記号,一般,*,*,*,*,—,—,—
←,1309,1309,2029,記号,一般,*,*,*,*,←,←,←
゜,1309,1309,4447,記号,一般,*,*,*,*,゜,゜,゜
Ｘ,1308,1308,1602,記号,アルファベット,*,*,*,*,Ｘ,エックス,エックス
Ｎ,1308,1308,4666,記号,アルファベット,*,*,*,*,Ｎ,エヌ,エヌ
ｊ,1308,1308,4321,記号,アルファベット,*,*,*,*,ｊ,ジェイ,ジェイ
ゞ,1309,1309,4545,記号,一般,*,*,*,*,ゞ,ゞ,ゞ
Ζ,1308,1308,695,記号,アルファベット,*,*,*,*,Ζ,ゼータ,ゼータ
Ｒ,1308,1308,6259,記号,アルファベット,*,*,*,*,Ｒ,アール,アール
ｒ,1308,1308,4857,記号,アルファベット,*,*,*,*,ｒ,アール,アール
ζ,1308,1308,695,記号,アルファベット,*,*,*,*,ζ,ゼータ,ゼータ
ω,1308,1308,695,記号,アルファベット,*,*,*,*,ω,オメガ,オメガ
Η,1308,1308,695,記号,アルファベット,*,*,*,*,Η,イータ,イータ
ε,1308,1308,695,記号,アルファベット,*,*,*,*,ε,イプシロン,イプシロン
▽,1309,1309,2019,記号,一般,*,*,*,*,▽,▽,▽
｀,1309,1309,2029,記号,一般,*,*,*,*,｀,｀,｀
Ｈ,1308,1308,217,記号,アルファベット,*,*,*,*,Ｈ,エイチ,エイチ
Ｈ,1308,1308,3660,記号,アルファベット,*,*,*,*,Ｈ,エッチ,エッチ
β,1308,1308,691,記号,アルファベット,*,*,*,*,β,ベータ,ベータ
＼,1309,1309,2029,記号,一般,*,*,*,*,＼,＼,＼
Ｉ,1308,1308,4812,記号,アルファベット,*,*,*,*,Ｉ,アイ,アイ
仝,1309,1309,3604,記号,一般,*,*,*,*,仝,仝,仝
＜,1312,1312,517,記号,括弧開,*,*,*,*,＜,＜,＜
γ,1308,1308,695,記号,アルファベット,*,*,*,*,γ,ガンマ,ガンマ
£,1309,1309,2029,記号,一般,*,*,*,*,£,ポンド,ポンド
ν,1308,1308,442,記号,アルファベット,*,*,*,*,ν,ニュー,ニュー
τ,1308,1308,1001,記号,アルファベット,*,*,*,*,τ,タウ,タウ
¥,1309,1309,2066,記号,一般,*,*,*,*,¥,エン,エン
χ,1308,1308,1413,記号,アルファベット,*,*,*,*,χ,カイ,カイ
‥,1309,1309,2029,記号,一般,*,*,*,*,‥,‥,‥
□,1309,1309,2029,記号,一般,*,*,*,*,□,□,□
【,1312,1312,509,記号,括弧開,*,*,*,*,【,【,【
Ｂ,1308,1308,3672,記号,アルファベット,*,*,*,*,Ｂ,ビー,ビー
ヾ,1309,1309,2122,記号,一般,*,*,*,*,ヾ,ヾ,ヾ
↓,1309,1309,2029,記号,一般,*,*,*,*,↓,↓,↓
Υ,1308,1308,695,記号,アルファベット,*,*,*,*,Υ,ウプシロン,ウプシロン
（,1312,1312,1089,記号,括弧開,*,*,*,*,（,（,（
＄,1309,1309,1186,記号,一般,*,*,*,*,＄,ドル,ドル
Π,1308,1308,720,記号,アルファベット,*,*,*,*,Π,パイ,パイ
——,1309,1309,1209,記号,一般,*,*,*,*,——,——,——
ｈ,1308,1308,4409,記号,アルファベット,*,*,*,*,ｈ,エッチ,エッチ
ｈ,1308,1308,3548,記号,アルファベット,*,*,*,*,ｈ,エイチ,エイチ
※,1309,1309,2029,記号,一般,*,*,*,*,※,※,※
η,1308,1308,695,記号,アルファベット,*,*,*,*,η,イータ,イータ
×,1309,1309,833,記号,一般,*,*,*,*,×,カケル,カケル
×,1309,1309,4618,記号,一般,*,*,*,*,×,バイ,バイ
×,1309,1309,4331,記号,一般,*,*,*,*,×,バツ,バツ
ξ,1308,1308,695,記号,アルファベット,*,*,*,*,ξ,クシー,クシー
〆,1309,1309,2031,記号,一般,*,*,*,*,〆,〆,〆
ο,1308,1308,695,記号,アルファベット,*,*,*,*,ο,オミクロン,オミクロン
）,1311,1311,1209,記号,括弧閉,*,*,*,*,）,）,）
Ｕ,1308,1308,4782,記号,アルファベット,*,*,*,*,Ｕ,ユー,ユー
Κ,1308,1308,687,記号,アルファベット,*,*,*,*,Κ,カッパ,カッパ
゛,1309,1309,4447,記号,一般,*,*,*,*,゛,゛,゛
υ,1308,1308,695,記号,アルファベット,*,*,*,*,υ,ウプシロン,ウプシロン
［,1312,1312,512,記号,括弧開,*,*,*,*,［,［,［
ｐ,1308,1308,5091,記号,アルファベット,*,*,*,*,ｐ,ピー,ピー
Ε,1308,1308,695,記号,アルファベット,*,*,*,*,Ε,イプシロン,イプシロン
‐,1309,1309,2029,記号,一般,*,*,*,*,‐,‐,‐
ｄ,1308,1308,4267,記号,アルファベット,*,*,*,*,ｄ,ディー,ディー
′,1309,1309,2033,記号,一般,*,*,*,*,′,′,′
》,1311,1311,631,記号,括弧閉,*,*,*,*,》,》,》
‾,1309,1309,2029,記号,一般,*,*,*,*,‾,‾,‾
Θ,1308,1308,695,記号,アルファベット,*,*,*,*,Θ,シータ,シータ
《,1312,1312,520,記号,括弧開,*,*,*,*,《,《,《
Ｓ,1308,1308,5602,記号,アルファベット,*,*,*,*,Ｓ,エス,エス
Ρ,1308,1308,943,記号,アルファベット,*,*,*,*,Ρ,ロー,ロー
ｌ,1308,1308,4498,記号,アルファベット,*,*,*,*,ｌ,エル,エル
〓,1309,1309,2040,記号,一般,*,*,*,*,〓,〓,〓
〃,1309,1309,2029,記号,一般,*,*,*,*,〃,〃,〃
ゝ,1309,1309,4447,記号,一般,*,*,*,*,ゝ,ゝ,ゝ
ｗ,1308,1308,4305,記号,アルファベット,*,*,*,*,ｗ,ダブリュー,ダブリュー
Λ,1308,1308,695,記号,アルファベット,*,*,*,*,Λ,ラムダ,ラムダ
】,1311,1311,623,記号,括弧閉,*,*,*,*,】,】,】
｛,1312,1312,521,記号,括弧開,*,*,*,*,｛,｛,｛
Ｖ,1308,1308,5131,記号,アルファベット,*,*,*,*,Ｖ,ブイ,ブイ
θ,1308,1308,695,記号,アルファベット,*,*,*,*,θ,シータ,シータ
▼,1309,1309,1967,記号,一般,*,*,*,*,▼,▼,▼
Ｄ,1308,1308,4718,記号,アルファベット,*,*,*,*,Ｄ,ディー,ディー
△,1309,1309,2029,記号,一般,*,*,*,*,△,△,△
π,1308,1308,720,記号,アルファベット,*,*,*,*,π,パイ,パイ
ａ,1308,1308,2967,記号,アルファベット,*,*,*,*,ａ,エイ,エイ
☆,1309,1309,2028,記号,一般,*,*,*,*,☆,☆,☆
Ｌ,1308,1308,6050,記号,アルファベット,*,*,*,*,Ｌ,エル,エル
−−,1309,1309,1212,記号,一般,*,*,*,*,−−,−−,−−
◇,1309,1309,2020,記号,一般,*,*,*,*,◇,◇,◇
＋,1309,1309,269,記号,一般,*,*,*,*,＋,タス,タス
＋,1309,1309,3045,記号,一般,*,*,*,*,＋,プラス,プラス
‖,1309,1309,2029,記号,一般,*,*,*,*,‖,‖,‖
…,1309,1309,-841,記号,一般,*,*,*,*,…,…,…
ｎ,1308,1308,4537,記号,アルファベット,*,*,*,*,ｎ,エヌ,エヌ
”,1311,1311,628,記号,括弧閉,*,*,*,*,”,”,”
｜,1309,1309,2029,記号,一般,*,*,*,*,｜,｜,｜
Χ,1308,1308,1413,記号,アルファベット,*,*,*,*,Χ,カイ,カイ
・,1309,1309,-480,記号,一般,*,*,*,*,・,・,・
